Area,Perimeter,Length of kernel,Width of kernel,Compactness,Asymmetry coefficient,Length of kernel groove,Wheat Type
10.74,12.73,5.145,2.642,0.8329,4.702,4.963,Canadian
10.82,12.83,5.18,2.63,0.8256,4.853,5.089,Canadian
10.91,12.8,5.088,2.675,0.8372,4.179,4.956,Canadian
11.02,13,5.325,2.701,0.8189,4.956,5.163,Canadian
11.18,13.04,5.22,2.693,0.8266,3.332,5.263,Canadian
11.36,13.05,5.175,2.755,0.8382,4.048,5.219,Canadian
11.43,13.13,5.176,2.719,0.8335,2.221,5.002,Canadian
11.56,13.31,5.363,2.683,0.8198,4.062,5.182,Canadian
11.75,13.52,5.444,2.678,0.8082,4.378,5.31,Canadian
11.81,13.45,5.413,2.716,0.8198,4.898,5.352,Canadian
11.82,13.4,5.314,2.777,0.8274,4.471,5.275,Canadian
12.13,13.73,5.394,2.745,0.8081,4.825,5.31,Canadian
12.26,13.6,5.408,2.833,0.8333,4.756,5.001,Canadian
10.79,12.93,5.317,2.648,0.8107,5.462,5.307,Canadian
