Area,Perimeter,Compactness,Length of kernel,Width of kernel,Asymmetry coefficient,Length of kernel groove,Wheat Type
16.87,15.65,0.8648,6.139,3.463,3.696,5.967,Rosa
17.26,15.73,0.8763,5.978,3.594,4.539,5.791,Rosa
17.32,15.91,0.8599,6.064,3.403,3.824,5.922,Rosa
17.36,15.76,0.8785,6.145,3.574,3.526,5.879,Rosa
17.55,15.66,0.8991,5.791,3.69,5.366,5.661,Rosa
17.63,15.98,0.8673,6.191,3.561,4.076,6.06,Rosa
17.63,15.86,0.88,6.033,3.573,3.747,5.929,Rosa
17.98,15.85,0.8993,5.979,3.687,2.257,5.919,Rosa
17.99,15.86,0.8992,5.89,3.694,2.068,5.837,Rosa
18.14,16.12,0.8772,6.059,3.563,3.619,6.011,Rosa
18.17,16.26,0.8637,6.271,3.512,2.853,6.273,Rosa
21.18,17.21,0.8989,6.573,4.033,5.78,6.231,Rosa
18.27,16.09,0.887,6.173,3.651,2.443,6.197,Rosa
20.97,17.25,0.8859,6.563,3.991,4.677,6.316,Rosa
18.45,16.12,0.8921,6.107,3.769,2.235,5.794,Rosa
10.59,12.41,0.8648,4.899,2.787,4.975,4.794,Canadian
10.8,12.57,0.859,4.981,2.821,4.773,5.063,Canadian
11.18,12.72,0.868,5.009,2.81,4.051,4.828,Canadian
11.23,12.88,0.8511,5.14,2.795,4.325,5.003,Canadian
11.27,12.86,0.8563,5.091,2.804,3.985,5.001,Canadian
11.34,12.87,0.8596,5.053,2.849,3.347,5.22,Canadian
11.41,12.95,0.856,5.09,2.775,4.957,4.825,Canadian
11.84,13.21,0.8521,5.175,2.836,3.598,5.044,Canadian
11.87,13.02,0.8795,5.132,2.953,3.597,5.132,Canadian
12.02,13.33,0.8503,5.35,2.81,4.271,5.046,Canadian
12.11,13.27,0.8639,5.236,2.975,4.132,5.012,Canadian
12.19,13.2,0.8783,5.137,2.981,3.631,4.87,Canadian
12.19,13.36,0.8579,5.24,2.909,4.857,5.158,Canadian
12.37,13.47,0.8567,5.204,2.96,3.919,5.001,Canadian
12.46,13.41,0.8706,5.236,3.017,4.987,5.147,Canadian
12.49,13.46,0.8658,5.267,2.967,4.421,5.316,Canadian
12.55,13.57,0.8558,5.333,2.968,4.419,5.049,Canadian
12.76,13.38,0.8964,5.073,3.155,2.828,4.83,Canadian
12.8,13.47,0.886,5.16,3.126,4.873,4.914,Canadian
13.37,13.78,0.8849,5.32,3.128,4.67,5.091,Canadian
11.65,13.07,0.8575,5.108,2.85,5.209,5.135,Canadian
12.1,13.15,0.8793,5.105,2.941,2.201,5.27,Canadian
12.22,13.32,0.8652,5.224,2.967,5.469,5.178,Canadian
12.3,13.34,0.8684,5.243,2.974,5.637,5.063,Canadian
12.38,13.44,0.8609,5.219,2.989,5.472,5.045,Canadian
12.67,13.32,0.8977,4.984,3.135,2.3,4.745,Canadian
12.79,13.53,0.8786,5.224,3.054,5.483,4.958,Canadian
13.34,13.95,0.862,5.389,3.074,5.995,5.221,Canadian
